Date,Rate,Country
7/11/2017,100.22,Myanmar
7/11/2017,99.7,Vietnam
7/11/2017,95.17,Thailand
7/12/2017,101.26,Cambodia
7/12/2017,100.84,Lao PDR
7/12/2017,100.48,Myanmar
7/12/2017,99.71,Vietnam
7/12/2017,94.79,Thailand
7/13/2017,101.04,Cambodia
7/13/2017,100.86,Lao PDR
7/13/2017,101.22,Myanmar
7/13/2017,99.7,Vietnam
7/13/2017,94.72,Thailand
7/14/2017,101.45,Cambodia
7/14/2017,100.93,Lao PDR
7/14/2017,100.77,Myanmar
7/14/2017,99.7,Vietnam
7/14/2017,94.28,Thailand
7/17/2017,101.26,Cambodia
7/17/2017,101.11,Lao PDR
7/17/2017,100.63,Myanmar
7/17/2017,99.72,Vietnam
7/17/2017,93.83,Thailand
7/18/2017,101.3,Cambodia
7/18/2017,101.03,Lao PDR
7/18/2017,100,Myanmar
7/18/2017,99.72,Vietnam
7/18/2017,93.75,Thailand
7/19/2017,101.28,Cambodia
7/19/2017,101.05,Lao PDR
7/19/2017,100.07,Myanmar
7/19/2017,99.75,Vietnam
7/19/2017,93.8,Thailand
7/20/2017,101.39,Cambodia
7/20/2017,101.08,Lao PDR
7/20/2017,100.81,Myanmar
7/20/2017,99.75,Vietnam
7/20/2017,93.75,Thailand
7/21/2017,101.19,Cambodia
7/21/2017,101.14,Lao PDR
7/21/2017,100.33,Myanmar
7/21/2017,99.7,Vietnam
7/21/2017,93.41,Thailand
7/24/2017,101.09,Cambodia
7/24/2017,100.82,Lao PDR
7/24/2017,100.55,Myanmar
7/24/2017,99.72,Vietnam
7/24/2017,93.3,Thailand
7/25/2017,101.11,Cambodia
7/25/2017,101.11,Lao PDR
7/25/2017,100.85,Myanmar
7/25/2017,99.73,Vietnam
7/25/2017,93.44,Thailand
7/26/2017,101.13,Cambodia
7/26/2017,101.06,Lao PDR
7/26/2017,100.7,Myanmar
7/26/2017,99.71,Vietnam
7/26/2017,93.24,Thailand
7/27/2017,101.15,Cambodia
7/27/2017,101.16,Lao PDR
7/27/2017,100.44,Myanmar
7/27/2017,99.7,Vietnam
7/27/2017,93.08,Thailand
7/28/2017,101.19,Cambodia
7/28/2017,101.04,Lao PDR
7/28/2017,100.37,Myanmar
7/28/2017,99.72,Vietnam
7/28/2017,93.19,Thailand
7/31/2017,101.07,Cambodia
7/31/2017,101.2,Lao PDR
7/31/2017,100.22,Myanmar
7/31/2017,99.71,Vietnam
7/31/2017,92.96,Thailand
8/1/2017,101.23,Cambodia
8/1/2017,101.08,Lao PDR
8/1/2017,100.22,Myanmar
8/1/2017,99.7,Vietnam
8/1/2017,92.91,Thailand
8/2/2017,101.25,Cambodia
8/2/2017,101.09,Lao PDR
8/2/2017,100.11,Myanmar
8/2/2017,99.7,Vietnam
8/2/2017,92.85,Thailand
8/3/2017,101.07,Cambodia
8/3/2017,101.11,Lao PDR
8/3/2017,100.18,Myanmar
8/3/2017,99.73,Vietnam
8/3/2017,92.85,Thailand
8/4/2017,101.05,Cambodia
8/4/2017,101.11,Lao PDR
8/4/2017,100.4,Myanmar
8/4/2017,99.75,Vietnam
8/4/2017,92.91,Thailand
8/7/2017,101.24,Cambodia
8/7/2017,101.14,Lao PDR
8/7/2017,100.22,Myanmar
8/7/2017,99.75,Vietnam
8/7/2017,92.91,Thailand
